iter	Passed	Remaining
0	153	76477
1	182	45350
2	201	33414
3	219	27233
4	238	23657
5	258	21279
6	277	19536
7	297	18284
8	316	17246
9	336	16470
10	358	15944
11	379	15445
12	405	15186
13	428	14862
14	451	14598
15	474	14346
16	502	14282
17	521	13952
18	540	13677
19	559	13425
20	578	13185
21	597	12985
22	617	12797
23	634	12593
24	656	12476
25	675	12320
26	697	12212
27	716	12073
28	735	11940
29	755	11830
30	776	11743
31	796	11652
32	818	11576
33	838	11490
34	859	11413
35	880	11346
36	910	11393
37	940	11436
38	964	11404
39	988	11367
40	1009	11298
41	1029	11231
42	1050	11159
43	1069	11088
44	1087	10995
45	1105	10905
46	1123	10830
47	1155	10880
48	1175	10823
49	1194	10746
50	1213	10681
51	1232	10619
52	1251	10551
53	1269	10489
54	1289	10435
55	1307	10368
56	1328	10324
57	1350	10289
58	1372	10259
59	1393	10220
60	1413	10171
61	1431	10114
62	1449	10054
63	1468	10007
64	1487	9956
65	1507	9911
66	1525	9859
67	1543	9808
68	1560	9750
69	1580	9705
70	1599	9663
71	1619	9629
72	1640	9594
73	1659	9551
74	1678	9513
75	1697	9470
76	1717	9432
77	1737	9400
78	1762	9390
79	1782	9359
80	1802	9323
81	1821	9284
82	1838	9235
83	1857	9199
84	1875	9156
85	1895	9125
86	1916	9096
87	1934	9058
88	1953	9021
89	1972	8985
90	1991	8951
91	2013	8929
92	2036	8912
93	2057	8888
94	2077	8856
95	2098	8830
96	2119	8804
97	2142	8790
98	2161	8756
99	2183	8734
100	2205	8713
101	2225	8683
102	2244	8652
103	2264	8624
104	2284	8592
105	2302	8556
106	2323	8533
107	2342	8503
108	2362	8473
109	2381	8444
110	2400	8412
111	2421	8388
112	2439	8355
113	2458	8325
114	2478	8297
115	2497	8268
116	2515	8234
117	2533	8203
118	2555	8181
119	2574	8153
120	2594	8126
121	2615	8104
122	2637	8085
123	2660	8067
124	2679	8039
125	2700	8015
126	2720	7989
127	2741	7967
128	2760	7939
129	2781	7916
130	2800	7889
131	2818	7856
132	2838	7832
133	2857	7804
134	2875	7775
135	2893	7745
136	2914	7721
137	2934	7698
138	2955	7675
139	2975	7650
140	2994	7623
141	3014	7600
142	3033	7572
143	3055	7554
144	3078	7536
145	3099	7516
146	3134	7526
147	3165	7527
148	3197	7531
149	3226	7528
150	3252	7517
151	3278	7505
152	3305	7497
153	3332	7488
154	3359	7477
155	3394	7484
156	3435	7506
157	3460	7490
158	3490	7486
159	3519	7478
160	3559	7493
161	3590	7490
162	3622	7489
163	3650	7479
164	3674	7460
165	3698	7442
166	3723	7424
167	3745	7400
168	3770	7384
169	3795	7366
170	3822	7354
171	3844	7331
172	3864	7304
173	3884	7277
174	3903	7249
175	3922	7220
176	3940	7191
177	3960	7165
178	3981	7140
179	4006	7123
180	4029	7102
181	4056	7088
182	4077	7063
183	4102	7045
184	4125	7024
185	4145	6998
186	4166	6974
187	4184	6945
188	4203	6916
189	4224	6893
190	4243	6864
191	4262	6838
192	4283	6812
193	4301	6784
194	4318	6755
195	4337	6726
196	4354	6697
197	4373	6670
198	4392	6644
199	4415	6622
200	4437	6601
201	4458	6577
202	4478	6551
203	4497	6525
204	4516	6499
205	4535	6473
206	4554	6447
207	4573	6420
208	4590	6391
209	4609	6364
210	4629	6341
211	4647	6313
212	4665	6286
213	4683	6259
214	4702	6233
215	4722	6209
216	4740	6182
217	4759	6156
218	4779	6132
219	4798	6106
220	4814	6078
221	4833	6052
222	4850	6025
223	4870	6001
224	4892	5979
225	4910	5953
226	4929	5928
227	4945	5900
228	4963	5873
229	4977	5843
230	4995	5817
231	5012	5790
232	5030	5764
233	5050	5741
234	5068	5715
235	5088	5691
236	5108	5668
237	5126	5643
238	5144	5617
239	5163	5594
240	5180	5567
241	5198	5542
242	5213	5514
243	5230	5488
244	5250	5464
245	5272	5444
246	5300	5429
247	5325	5411
248	5348	5391
249	5369	5369
250	5391	5348
251	5413	5327
252	5434	5305
253	5456	5284
254	5480	5265
255	5536	5277
256	5585	5280
257	5610	5262
258	5640	5248
259	5664	5229
260	5681	5203
261	5700	5178
262	5718	5153
263	5746	5136
264	5765	5112
265	5783	5088
266	5803	5064
267	5822	5039
268	5838	5014
269	5856	4988
270	5874	4964
271	5897	4943
272	5918	4920
273	5935	4895
274	5955	4872
275	5976	4850
276	5993	4825
277	6010	4799
278	6028	4775
279	6045	4750
280	6062	4725
281	6080	4700
282	6100	4677
283	6122	4656
284	6140	4632
285	6160	4609
286	6180	4586
287	6199	4563
288	6216	4538
289	6235	4515
290	6252	4490
291	6271	4467
292	6293	4446
293	6313	4424
294	6333	4401
295	6350	4376
296	6367	4352
297	6388	4330
298	6408	4308
299	6426	4284
300	6443	4259
301	6459	4234
302	6478	4211
303	6495	4187
304	6511	4163
305	6529	4139
306	6546	4115
307	6563	4091
308	6584	4070
309	6605	4048
310	6623	4025
311	6642	4002
312	6660	3979
313	6677	3955
314	6696	3932
315	6714	3909
316	6732	3886
317	6751	3864
318	6768	3840
319	6779	3813
320	6795	3789
321	6816	3768
322	6836	3746
323	6855	3723
324	6871	3700
325	6889	3677
326	6908	3654
327	6925	3631
328	6943	3608
329	6960	3585
330	6978	3562
331	6996	3540
332	7016	3518
333	7036	3497
334	7056	3475
335	7075	3453
336	7094	3431
337	7111	3408
338	7130	3386
339	7147	3363
340	7165	3341
341	7184	3319
342	7202	3296
343	7219	3273
344	7238	3251
345	7255	3229
346	7273	3207
347	7291	3184
348	7310	3162
349	7331	3141
350	7351	3120
351	7371	3099
352	7391	3077
353	7418	3059
354	7464	3048
355	7493	3031
356	7516	3010
357	7546	2993
358	7567	2972
359	7585	2949
360	7611	2930
361	7638	2911
362	7660	2891
363	7695	2875
364	7734	2860
365	7769	2844
366	7797	2825
367	7823	2806
368	7846	2785
369	7877	2767
370	7908	2749
371	7933	2729
372	7953	2708
373	7971	2685
374	7991	2663
375	8008	2641
376	8026	2618
377	8045	2596
378	8063	2574
379	8082	2552
380	8101	2530
381	8119	2508
382	8137	2485
383	8154	2463
384	8172	2441
385	8189	2418
386	8208	2396
387	8226	2374
388	8245	2352
389	8262	2330
390	8279	2308
391	8297	2286
392	8314	2263
393	8333	2241
394	8352	2220
395	8373	2199
396	8393	2177
397	8410	2155
398	8430	2133
399	8449	2112
400	8469	2090
401	8486	2068
402	8505	2047
403	8523	2025
404	8540	2003
405	8566	1983
406	8585	1961
407	8603	1939
408	8620	1918
409	8637	1895
410	8655	1874
411	8671	1852
412	8689	1830
413	8706	1808
414	8725	1787
415	8746	1766
416	8767	1745
417	8788	1723
418	8805	1702
419	8822	1680
420	8842	1659
421	8861	1637
422	8878	1616
423	8897	1594
424	8917	1573
425	8934	1552
426	8956	1531
427	8974	1509
428	8993	1488
429	9014	1467
430	9030	1445
431	9049	1424
432	9069	1403
433	9088	1382
434	9106	1360
435	9125	1339
436	9144	1318
437	9162	1296
438	9179	1275
439	9200	1254
440	9220	1233
441	9238	1212
442	9256	1191
443	9274	1169
444	9292	1148
445	9309	1127
446	9327	1105
447	9344	1084
448	9362	1063
449	9378	1042
450	9395	1020
451	9412	999
452	9431	978
453	9448	957
454	9466	936
455	9484	915
456	9503	894
457	9521	873
458	9540	852
459	9558	831
460	9589	811
461	9607	790
462	9626	769
463	9646	748
464	9665	727
465	9682	706
466	9699	685
467	9717	664
468	9733	643
469	9749	622
470	9768	601
471	9787	580
472	9818	560
473	9852	540
474	9877	519
475	9895	498
476	9912	477
477	9929	457
478	9947	436
479	9964	415
480	9982	394
481	9998	373
482	10014	352
483	10032	331
484	10052	310
485	10081	290
486	10106	269
487	10123	248
488	10145	228
489	10163	207
490	10182	186
491	10199	165
492	10219	145
493	10235	124
494	10254	103
495	10274	82
496	10294	62
497	10314	41
498	10332	20
499	10350	0
